UNIX TIME;TIME;LAT;LONG;ALT;DIST;HR;CAD;TEMP;POWER
1178690400;2007-05-09T06:00:00Z;-33,886760;151,208994;46;0;0;0;No Data;No Data
1178690403;2007-05-09T06:00:03Z;-33,886716;151,208862;40;0.0130437;0;0;No Data;No Data
1178690406;2007-05-09T06:00:06Z;-33,886657;151,208749;40;0.0253188;0;0;No Data;No Data
1178690409;2007-05-09T06:00:09Z;-33,886582;151,208635;40;0.0386753;0;0;No Data;No Data
1178690413;2007-05-09T06:00:13Z;-33,886508;151,208485;40;0.0547963;0;0;No Data;No Data
1178690418;2007-05-09T06:00:18Z;-33,886403;151,208314;40;0.0743817;0;0;No Data;No Data
1178690422;2007-05-09T06:00:22Z;-33,886281;151,208199;40;0.0915021;0;0;No Data;No Data
1178690424;2007-05-09T06:00:24Z;-33,886221;151,208142;40;0.099968;0;0;No Data;No Data
1178690426;2007-05-09T06:00:26Z;-33,886160;151,208066;45;0.1096435;0;0;No Data;No Data
1178690429;2007-05-09T06:00:29Z;-33,886100;151,207971;36;0.1205565;0;0;No Data;No Data
1178690434;2007-05-09T06:00:34Z;-33,885996;151,207801;36;0.1400288;0;0;No Data;No Data
1178690437;2007-05-09T06:00:37Z;-33,885936;151,207688;36;0.1523729;0;0;No Data;No Data
1178690438;2007-05-09T06:00:38Z;-33,885891;151,207631;36;0.1596055;0;0;No Data;No Data
1178690440;2007-05-09T06:00:40Z;-33,885861;151,207556;36;0.1672545;0;0;No Data;No Data
1178690443;2007-05-09T06:00:43Z;-33,885802;151,207424;36;0.181058;0;0;No Data;No Data
1178690447;2007-05-09T06:00:47Z;-33,885727;151,207310;36;0.1944199;0;0;No Data;No Data
1178690449;2007-05-09T06:00:49Z;-33,885683;151,207197;36;0.2058678;0;0;No Data;No Data
1178690454;2007-05-09T06:00:54Z;-33,885593;151,207046;29;0.2229641;0;0;No Data;No Data
1178690456;2007-05-09T06:00:56Z;-33,885549;151,206952;29;0.2329017;0;0;No Data;No Data
1178690459;2007-05-09T06:00:59Z;-33,885489;151,206839;29;0.2452571;0;0;No Data;No Data
1178690461;2007-05-09T06:01:01Z;-33,885429;151,206763;29;0.2549289;0;0;No Data;No Data
1178690464;2007-05-09T06:01:04Z;-33,885338;151,206667;25;0.2683279;0;0;No Data;No Data
1178690468;2007-05-09T06:01:08Z;-33,885263;151,206554;25;0.2816769;0;0;No Data;No Data
1178690471;2007-05-09T06:01:11Z;-33,885187;151,206458;25;0.2938024;0;0;No Data;No Data
1178690474;2007-05-09T06:01:14Z;-33,885097;151,206326;25;0.3095101;0;0;No Data;No Data
1178690479;2007-05-09T06:01:19Z;-33,884992;151,206156;22;0.3290236;0;0;No Data;No Data
1178690481;2007-05-09T06:01:21Z;-33,884948;151,206080;22;0.3375469;0;0;No Data;No Data
1178690485;2007-05-09T06:01:25Z;-33,884857;151,205966;22;0.3520899;0;0;No Data;No Data
1178690489;2007-05-09T06:01:29Z;-33,884736;151,205851;22;0.3691963;0;0;No Data;No Data
1178690491;2007-05-09T06:01:31Z;-33,884660;151,205793;22;0.3791652;0;0;No Data;No Data
1178690494;2007-05-09T06:01:34Z;-33,884569;151,205716;22;0.3915063;0;0;No Data;No Data
1178690498;2007-05-09T06:01:38Z;-33,884447;151,205601;21;0.4086454;0;0;No Data;No Data
1178690503;2007-05-09T06:01:43Z;-33,884295;151,205486;21;0.4285776;0;0;No Data;No Data
1178690504;2007-05-09T06:01:44Z;-33,884249;151,205447;21;0.4347229;0;0;No Data;No Data
1178690507;2007-05-09T06:01:47Z;-33,884158;151,205370;24;0.4469961;0;0;No Data;No Data
1178690510;2007-05-09T06:01:50Z;-33,884067;151,205293;24;0.4592789;0;0;No Data;No Data
1178690514;2007-05-09T06:01:54Z;-33,883945;151,205197;24;0.4753915;0;0;No Data;No Data
1178690516;2007-05-09T06:01:56Z;-33,883884;151,205158;24;0.4829645;0;0;No Data;No Data
1178690519;2007-05-09T06:01:59Z;-33,883778;151,205081;24;0.4967011;0;0;No Data;No Data
1178690523;2007-05-09T06:02:03Z;-33,883687;151,204967;21;0.5112341;0;0;No Data;No Data
1178690527;2007-05-09T06:02:07Z;-33,883566;151,204852;21;0.5283278;0;0;No Data;No Data
1178690529;2007-05-09T06:02:09Z;-33,883490;151,204775;21;0.5392643;0;0;No Data;No Data
1178690533;2007-05-09T06:02:13Z;-33,883400;151,204643;21;0.5549858;0;0;No Data;No Data
1178690535;2007-05-09T06:02:15Z;-33,883339;151,204604;22;0.5625969;0;0;No Data;No Data
1178690538;2007-05-09T06:02:18Z;-33,883264;151,204509;22;0.5746709;0;0;No Data;No Data
1178690542;2007-05-09T06:02:22Z;-33,883127;151,204412;22;0.5923221;0;0;No Data;No Data
1178690547;2007-05-09T06:02:27Z;-33,882975;151,204259;22;0.6142785;0;0;No Data;No Data
1178690552;2007-05-09T06:02:32Z;-33,882838;151,204162;20;0.6318753;0;0;No Data;No Data
